"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Butler County, PA","42019","45-49 years","45-49",Suppressed
,"Butler County, PA","42019","50 years and over","50+",0
,"Cambria County, PA","42021","Under 15 years","15",Suppressed
,"Cambria County, PA","42021","15-19 years","15-19",78
,"Cambria County, PA","42021","20-24 years","20-24",304
,"Cambria County, PA","42021","25-29 years","25-29",462
,"Cambria County, PA","42021","30-34 years","30-34",342
,"Cambria County, PA","42021","35-39 years","35-39",149
,"Cambria County, PA","42021","40-44 years","40-44",20
,"Cambria County, PA","42021","45-49 years","45-49",Suppressed
,"Cambria County, PA","42021","50 years and over","50+",0
,"Centre County, PA","42027","Under 15 years","15",0
,"Centre County, PA","42027","15-19 years","15-19",15
,"Centre County, PA","42027","20-24 years","20-24",172
,"Centre County, PA","42027","25-29 years","25-29",381
,"Centre County, PA","42027","30-34 years","30-34",431
,"Centre County, PA","42027","35-39 years","35-39",178
,"Centre County, PA","42027","40-44 years","40-44",29
,"Centre County, PA","42027","45-49 years","45-49",Suppressed
,"Centre County, PA","42027","50 years and over","50+",0
,"Chester County, PA","42029","Under 15 years","15",Suppressed
,"Chester County, PA","42029","15-19 years","15-19",125
,"Chester County, PA","42029","20-24 years","20-24",553
,"Chester County, PA","42029","25-29 years","25-29",1322
,"Chester County, PA","42029","30-34 years","30-34",2063
,"Chester County, PA","42029","35-39 years","35-39",1077
,"Chester County, PA","42029","40-44 years","40-44",172
,"Chester County, PA","42029","45-49 years","45-49",12
,"Chester County, PA","42029","50 years and over","50+",0
,"Cumberland County, PA","42041","Under 15 years","15",0
,"Cumberland County, PA","42041","15-19 years","15-19",78
,"Cumberland County, PA","42041","20-24 years","20-24",456
