"Mechanism","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Cut/Pierce","Oklahoma","2022","47","4,019,271","1.17","1.17","1,055"
"Cut/Pierce","Oklahoma","2021","41","3,991,634","1.03","1.03","1,043"
"Cut/Pierce","Oklahoma","2020","36","3,965,234","0.91","0.95","850"
"Cut/Pierce","Oklahoma","2019","30","3,960,676","0.76","0.80","671"
"Cut/Pierce","Oklahoma","2018","37","3,943,488","0.94","0.98","895"
"Cut/Pierce","Oregon","2023","35","4,233,358","0.83","0.83","830"
"Cut/Pierce","Oregon","2022","33","4,239,379","0.78","0.75","602"
"Cut/Pierce","Oregon","2021","42","4,256,465","0.99","0.96","823"
"Cut/Pierce","Oregon","2020","31","4,245,044","0.73","0.73","715"
"Cut/Pierce","Oregon","2019","32","4,216,116","0.76","0.73","594"
"Cut/Pierce","Oregon","2018","26","4,183,538","0.62","0.59","609"
"Cut/Pierce","Pennsylvania","2023","86","12,961,683","0.66","0.65","1,825"
"Cut/Pierce","Pennsylvania","2022","94","12,972,091","0.73","0.73","1,853"
"Cut/Pierce","Pennsylvania","2021","102","13,013,614","0.78","0.76","1,958"
"Cut/Pierce","Pennsylvania","2020","94","12,995,477","0.72","0.75","2,304"
"Cut/Pierce","Pennsylvania","2019","77","12,798,883","0.60","0.60","1,826"
"Cut/Pierce","Pennsylvania","2018","100","12,809,107","0.78","0.76","2,204"
"Cut/Pierce","Rhode Island","2023","--","1,095,962","--","--","--"
"Cut/Pierce","Rhode Island","2022","--","1,093,842","--","--","--"
"Cut/Pierce","Rhode Island","2021","--","1,097,092","--","--","--"
"Cut/Pierce","Rhode Island","2020","--","1,096,444","--","--","--"
"Cut/Pierce","Rhode Island","2019","10**","1,058,158","0.95**","0.86**","188"
"Cut/Pierce","Rhode Island","2018","--","1,059,338","--","--","--"
"Cut/Pierce","South Carolina","2023","54","5,373,555","1.01","1.07","1,247"
"Cut/Pierce","South Carolina","2022","35","5,282,955","0.66","0.64","592"
"Cut/Pierce","South Carolina","2021","31","5,193,848","0.60","0.61","633"
"Cut/Pierce","South Carolina","2020","50","5,132,151","0.97","0.99","1,163"
"Cut/Pierce","South Carolina","2019","40","5,157,702","0.78","0.74","814"
"Cut/Pierce","South Carolina","2018","54","5,091,702","1.06","1.02","1,219"
"Cut/Pierce","South Dakota","2023","14**","919,318","1.52**","1.66**","466"
"Cut/Pierce","South Dakota","2022","11**","909,869","1.21**","1.48**","318"
"Cut/Pierce","South Dakota","2021","16**","896,299","1.79**","1.67**","289"
"Cut/Pierce","South Dakota","2020","12**","887,852","1.35**","1.43**","261"
"Cut/Pierce","South Dakota","2019","--","887,127","--","--","--"
"Cut/Pierce","South Dakota","2018","--","879,386","--","--","--"
"Cut/Pierce","Tennessee","2023","50","7,126,489","0.70","0.69","997"
"Cut/Pierce","Tennessee","2022","55","7,048,976","0.78","0.76","1,031"
"Cut/Pierce","Tennessee","2021","55","6,963,709","0.79","0.75","1,185"
"Cut/Pierce","Tennessee","2020","57","6,926,091","0.82","0.79","944"
"Cut/Pierce","Tennessee","2019","75","6,830,325","1.10","1.07","1,660"
"Cut/Pierce","Tennessee","2018","47","6,778,180","0.69","0.69","980"
"Cut/Pierce","Texas","2023","214","30,503,301","0.70","0.69","4,823"
"Cut/Pierce","Texas","2022","196","30,029,848","0.65","0.65","4,551"
"Cut/Pierce","Texas","2021","244","29,561,286","0.83","0.82","5,309"
"Cut/Pierce","Texas","2020","247","29,234,361","0.85","0.84","5,890"
"Cut/Pierce","Texas","2019","194","28,986,794","0.67","0.67","4,318"
