"Mechanism","Age Group","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"","70 to 74","Rhode Island","2020","--","50,280","0.00**","--","--"
"","70 to 74","Rhode Island","2019","--","47,072","0.00**","--","--"
"","70 to 74","Rhode Island","2018","--","44,975","0.00**","--","--"
"","75 to 79","District of Columbia","2023","--","16,672","0.00**","--","--"
"","75 to 79","District of Columbia","2022","--","15,860","0.00**","--","--"
"","75 to 79","District of Columbia","2021","--","14,777","0.00**","--","--"
"","75 to 79","District of Columbia","2019","--","15,216","0.00**","--","--"
"","75 to 79","Hawaii","2022","--","56,153","0.00**","--","--"
"","75 to 79","Vermont","2021","--","23,731","0.00**","--","--"
"","80 to 84","Alaska","2019","--","8,063","0.00**","--","--"
"","80 to 84","District of Columbia","2020","--","9,472","0.00**","--","--"
"","80 to 84","District of Columbia","2019","--","10,057","0.00**","--","--"
"","80 to 84","District of Columbia","2018","--","9,770","0.00**","--","--"
"","85+","Alaska","2020","--","6,611","0.00**","--","--"
"","85+","District of Columbia","2022","--","10,518","0.00**","--","--"
"","85+","District of Columbia","2021","--","10,429","0.00**","--","--"
"","85+","District of Columbia","2020","--","10,452","0.00**","--","--"
"","85+","District of Columbia","2019","--","12,201","0.00**","--","--"
"","85+","District of Columbia","2018","--","12,066","0.00**","--","--"
"","85+","Hawaii","2022","--","40,710","0.00**","--","--"
"","85+","Nebraska","2023","--","37,762","0.00**","--","--"
"","85+","Rhode Island","2022","--","24,506","0.00**","--","--"
"","85+","Rhode Island","2019","--","27,307","0.00**","--","--"
"","85+","Rhode Island","2018","--","27,610","0.00**","--","--"
"Firearm","0 to 4","Alabama","2023","--","293,105","--","--","--"
"Firearm","0 to 4","Alabama","2022","--","293,051","--","--","--"
"Firearm","0 to 4","Alabama","2021","--","294,169","--","--","--"
"Firearm","0 to 4","Alabama","2019","--","294,274","--","--","--"
"Firearm","0 to 4","Alabama","2018","--","295,520","--","--","--"
"Firearm","0 to 4","Alaska","2023","--","45,857","--","--","--"
"Firearm","0 to 4","Alaska","2022","--","46,702","--","--","--"
"Firearm","0 to 4","Arizona","2023","--","393,531","--","--","--"
"Firearm","0 to 4","Arizona","2021","--","397,384","--","--","--"
"Firearm","0 to 4","Arizona","2020","--","403,496","--","--","--"
"Firearm","0 to 4","Arkansas","2023","--","180,834","--","--","--"
"Firearm","0 to 4","Arkansas","2022","--","181,797","--","--","--"
"Firearm","0 to 4","Arkansas","2021","--","181,967","--","--","--"
"Firearm","0 to 4","Arkansas","2020","--","184,478","--","--","--"
"Firearm","0 to 4","Arkansas","2019","--","188,719","--","--","--"
"Firearm","0 to 4","Arkansas","2018","--","190,511","--","--","--"
"Firearm","0 to 4","California","2023","--","2,097,790","--","--","--"
"Firearm","0 to 4","California","2022","--","2,139,291","--","--","--"
"Firearm","0 to 4","California","2021","--","2,199,434","--","--","--"
"Firearm","0 to 4","California","2020","--","2,290,912","--","--","--"
"Firearm","0 to 4","California","2019","--","2,370,570","--","--","--"
"Firearm","0 to 4","California","2018","10**","2,425,103","0.41**","--","625"
"Firearm","0 to 4","Colorado","2022","--","310,417","--","--","--"
"Firearm","0 to 4","Colorado","2021","--","314,631","--","--","--"
"Firearm","0 to 4","Colorado","2020","--","320,824","--","--","--"
"Firearm","0 to 4","Connecticut","2023","--","180,673","--","--","--"
"Firearm","0 to 4","Connecticut","2021","--","179,886","--","--","--"
"Firearm","0 to 4","Delaware","2018","--","55,064","--","--","--"
"Firearm","0 to 4","District of Columbia","2020","--","42,499","--","--","--"
"Firearm","0 to 4","Florida","2023","--","1,124,756","--","--","--"
"Firearm","0 to 4","Florida","2022","--","1,115,327","--","--","--"
"Firearm","0 to 4","Florida","2021","--","1,100,202","--","--","--"
"Firearm","0 to 4","Florida","2020","--","1,116,901","--","--","--"
"Firearm","0 to 4","Florida","2019","--","1,140,140","--","--","--"
"Firearm","0 to 4","Florida","2018","--","1,144,020","--","--","--"
"Firearm","0 to 4","Georgia","2023","--","635,832","--","--","--"
"Firearm","0 to 4","Georgia","2022","--","636,194","--","--","--"
"Firearm","0 to 4","Georgia","2021","--","636,112","--","--","--"
"Firearm","0 to 4","Georgia","2019","--","654,756","--","--","--"
"Firearm","0 to 4","Georgia","2018","--","658,501","--","--","--"
"Firearm","0 to 4","Hawaii","2022","--","79,542","--","--","--"
"Firearm","0 to 4","Idaho","2023","--","113,383","--","--","--"
"Firearm","0 to 4","Illinois","2023","--","664,874","--","--","--"
"Firearm","0 to 4","Illinois","2022","--","683,603","--","--","--"
"Firearm","0 to 4","Illinois","2021","--","706,874","--","--","--"
"Firearm","0 to 4","Illinois","2020","--","735,367","--","--","--"
"Firearm","0 to 4","Illinois","2019","--","745,655","--","--","--"
"Firearm","0 to 4","Illinois","2018","--","759,748","--","--","--"
"Firearm","0 to 4","Indiana","2023","--","405,723","--","--","--"
"Firearm","0 to 4","Indiana","2021","--","410,491","--","--","--"
"Firearm","0 to 4","Indiana","2020","--","416,803","--","--","--"
"Firearm","0 to 4","Indiana","2019","--","419,270","--","--","--"
"Firearm","0 to 4","Indiana","2018","--","420,605","--","--","--"
"Firearm","0 to 4","Iowa","2021","--","189,255","--","--","--"
"Firearm","0 to 4","Kansas","2023","--","174,988","--","--","--"
"Firearm","0 to 4","Kansas","2021","--","179,164","--","--","--"
"Firearm","0 to 4","Kansas","2020","--","183,686","--","--","--"
"Firearm","0 to 4","Kentucky","2023","--","263,862","--","--","--"
"Firearm","0 to 4","Kentucky","2022","--","265,074","--","--","--"
"Firearm","0 to 4","Kentucky","2020","--","271,512","--","--","--"
"Firearm","0 to 4","Kentucky","2019","--","272,855","--","--","--"
"Firearm","0 to 4","Louisiana","2023","--","279,427","--","--","--"
"Firearm","0 to 4","Louisiana","2022","--","282,496","--","--","--"
"Firearm","0 to 4","Louisiana","2021","--","288,995","--","--","--"
"Firearm","0 to 4","Louisiana","2020","--","297,231","--","--","--"
"Firearm","0 to 4","Louisiana","2019","--","302,539","--","--","--"
"Firearm","0 to 4","Louisiana","2018","--","308,014","--","--","--"
"Firearm","0 to 4","Maine","2022","--","62,227","--","--","--"
"Firearm","0 to 4","Maine","2019","--","64,060","--","--","--"
"Firearm","0 to 4","Maryland","2023","--","349,713","--","--","--"
"Firearm","0 to 4","Maryland","2022","--","353,344","--","--","--"
"Firearm","0 to 4","Maryland","2020","--","366,952","--","--","--"
"Firearm","0 to 4","Maryland","2018","--","364,897","--","--","--"
"Firearm","0 to 4","Michigan","2023","--","529,962","--","--","--"
"Firearm","0 to 4","Michigan","2022","--","539,569","--","--","--"
"Firearm","0 to 4","Michigan","2021","--","548,591","--","--","--"
"Firearm","0 to 4","Michigan","2020","--","561,839","--","--","--"
"Firearm","0 to 4","Michigan","2019","--","566,538","--","--","--"
"Firearm","0 to 4","Michigan","2018","--","572,264","--","--","--"
"Firearm","0 to 4","Minnesota","2021","--","337,914","--","--","--"
"Firearm","0 to 4","Minnesota","2019","--","350,731","--","--","--"
