"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Dallas County, TX","48113","Under 15 years","15",30
,"Dallas County, TX","48113","15-19 years","15-19",2303
,"Dallas County, TX","48113","20-24 years","20-24",7396
,"Dallas County, TX","48113","25-29 years","25-29",10022
,"Dallas County, TX","48113","30-34 years","30-34",9876
,"Dallas County, TX","48113","35-39 years","35-39",5191
,"Dallas County, TX","48113","40-44 years","40-44",1207
,"Dallas County, TX","48113","45-49 years","45-49",88
,"Dallas County, TX","48113","50 years and over","50+",Suppressed
,"Denton County, TX","48121","Under 15 years","15",Suppressed
,"Denton County, TX","48121","15-19 years","15-19",274
,"Denton County, TX","48121","20-24 years","20-24",1303
,"Denton County, TX","48121","25-29 years","25-29",2662
,"Denton County, TX","48121","30-34 years","30-34",3529
,"Denton County, TX","48121","35-39 years","35-39",1828
,"Denton County, TX","48121","40-44 years","40-44",340
,"Denton County, TX","48121","45-49 years","45-49",23
,"Denton County, TX","48121","50 years and over","50+",Suppressed
,"Ector County, TX","48135","Under 15 years","15",Suppressed
,"Ector County, TX","48135","15-19 years","15-19",233
,"Ector County, TX","48135","20-24 years","20-24",769
,"Ector County, TX","48135","25-29 years","25-29",892
,"Ector County, TX","48135","30-34 years","30-34",605
,"Ector County, TX","48135","35-39 years","35-39",202
,"Ector County, TX","48135","40-44 years","40-44",38
,"Ector County, TX","48135","45-49 years","45-49",Suppressed
,"Ector County, TX","48135","50 years and over","50+",0
,"Ellis County, TX","48139","Under 15 years","15",Suppressed
,"Ellis County, TX","48139","15-19 years","15-19",114
,"Ellis County, TX","48139","20-24 years","20-24",522
,"Ellis County, TX","48139","25-29 years","25-29",763
,"Ellis County, TX","48139","30-34 years","30-34",622
,"Ellis County, TX","48139","35-39 years","35-39",273
,"Ellis County, TX","48139","40-44 years","40-44",78
,"Ellis County, TX","48139","45-49 years","45-49",Suppressed
,"Ellis County, TX","48139","50 years and over","50+",Suppressed
,"El Paso County, TX","48141","Under 15 years","15",11
,"El Paso County, TX","48141","15-19 years","15-19",804
