"Intent or Manner","Age Group","State","Race","Death Count","Population","Crude Rate"
"Suicide","15 to 19","South Dakota","White","--","48,128","--"
"Suicide","15 to 19","South Dakota","Black","--","1,726","--"
"Suicide","15 to 19","Tennessee","White","35","328,074","10.67"
"Suicide","15 to 19","Tennessee","Black","--","83,100","--"
"Suicide","15 to 19","Texas","White","114","959,510","11.88"
"Suicide","15 to 19","Texas","Black","29","215,566","13.45"
"Suicide","15 to 19","Utah","White","37","245,060","15.10"
"Suicide","15 to 19","Utah","Black","--","4,625","--"
"Suicide","15 to 19","Vermont","White","--","37,526","--"
"Suicide","15 to 19","Vermont","Black","--","899","--"
"Suicide","15 to 19","Virginia","White","40","362,797","11.03"
"Suicide","15 to 19","Virginia","Black","21","118,104","17.78"
"Suicide","15 to 19","Washington","White","26","338,086","7.69"
"Suicide","15 to 19","Washington","Black","--","22,579","--"
"Suicide","15 to 19","West Virginia","White","--","97,496","--"
"Suicide","15 to 19","West Virginia","Black","--","4,849","--"
"Suicide","15 to 19","Wisconsin","White","29","315,281","9.20"
"Suicide","15 to 19","Wisconsin","Black","--","31,838","--"
"Suicide","15 to 19","Wyoming","White","--","35,452","--"
"Suicide","15 to 19","Wyoming","Black","--","482","--"
"Suicide","20 to 24","Alabama","White","34","229,203","14.83"
"Suicide","20 to 24","Alabama","Black","18**","108,314","16.62"
"Suicide","20 to 24","Alaska","White","13**","30,319","42.88"
"Suicide","20 to 24","Alaska","Black","--","2,839","--"
"Suicide","20 to 24","Arizona","White","73","412,758","17.69"
"Suicide","20 to 24","Arizona","Black","13**","33,004","39.39"
"Suicide","20 to 24","Arkansas","White","30","158,002","18.99"
"Suicide","20 to 24","Arkansas","Black","--","39,342","--"
"Suicide","20 to 24","California","White","111","1,247,088","8.90"
"Suicide","20 to 24","California","Black","17**","115,207","14.76"
"Suicide","20 to 24","Colorado","White","74","336,044","22.02"
"Suicide","20 to 24","Colorado","Black","--","21,525","--"
"Suicide","20 to 24","Connecticut","White","14**","182,182","7.68"
"Suicide","20 to 24","Connecticut","Black","--","35,572","--"
"Suicide","20 to 24","Delaware","White","--","37,241","--"
"Suicide","20 to 24","Delaware","Black","--","18,013","--"
"Suicide","20 to 24","District of Columbia","White","--","23,632","--"
"Suicide","20 to 24","District of Columbia","Black","--","19,382","--"
"Suicide","20 to 24","Florida","White","82","679,404","12.07"
"Suicide","20 to 24","Florida","Black","21","199,250","10.54"
"Suicide","20 to 24","Georgia","White","71","433,877","16.36"
"Suicide","20 to 24","Georgia","Black","47","276,164","17.02"
"Suicide","20 to 24","Hawaii","White","--","26,265","--"
"Suicide","20 to 24","Hawaii","Black","--","3,657","--"
"Suicide","20 to 24","Idaho","White","31","122,210","25.37"
"Suicide","20 to 24","Idaho","Black","--","2,055","--"
"Suicide","20 to 24","Illinois","White","75","622,549","12.05"
"Suicide","20 to 24","Illinois","Black","23","137,775","16.69"
"Suicide","20 to 24","Indiana","White","58","397,948","14.57"
"Suicide","20 to 24","Indiana","Black","10**","56,280","17.77"
"Suicide","20 to 24","Iowa","White","38","203,529","18.67"
"Suicide","20 to 24","Iowa","Black","--","13,181","--"
"Suicide","20 to 24","Kansas","White","42","184,291","22.79"
"Suicide","20 to 24","Kansas","Black","--","16,483","--"
"Suicide","20 to 24","Kentucky","White","48","258,883","18.54"
"Suicide","20 to 24","Kentucky","Black","10**","32,644","30.63"
"Suicide","20 to 24","Louisiana","White","40","178,463","22.41"
"Suicide","20 to 24","Louisiana","Black","22","119,461","18.42"
"Suicide","20 to 24","Maine","White","11**","71,385","15.41"
"Suicide","20 to 24","Maine","Black","--","2,480","--"
"Suicide","20 to 24","Maryland","White","22","208,301","10.56"
"Suicide","20 to 24","Maryland","Black","19**","130,750","14.53"
"Suicide","20 to 24","Massachusetts","White","26","375,819","6.92"
"Suicide","20 to 24","Massachusetts","Black","--","51,126","--"
"Suicide","20 to 24","Michigan","White","84","525,093","16.00"
"Suicide","20 to 24","Michigan","Black","18**","107,139","16.80"
"Suicide","20 to 24","Minnesota","White","50","289,837","17.25"
"Suicide","20 to 24","Minnesota","Black","--","34,188","--"
"Suicide","20 to 24","Mississippi","White","16**","113,911","14.05"
"Suicide","20 to 24","Mississippi","Black","--","87,800","--"
"Suicide","20 to 24","Missouri","White","69","334,793","20.61"
"Suicide","20 to 24","Missouri","Black","16**","55,686","28.73"
"Suicide","20 to 24","Montana","White","14**","66,748","20.97"
"Suicide","20 to 24","Montana","Black","--","890","--"
"Suicide","20 to 24","Nebraska","White","16**","122,100","13.10"
"Suicide","20 to 24","Nebraska","Black","--","8,495","--"
"Suicide","20 to 24","Nevada","White","35","137,404","25.47"
"Suicide","20 to 24","Nevada","Black","--","23,445","--"
"Suicide","20 to 24","New Hampshire","White","11**","78,484","14.02"
"Suicide","20 to 24","New Hampshire","Black","--","2,355","--"
"Suicide","20 to 24","New Jersey","White","27","397,324","6.80"
"Suicide","20 to 24","New Jersey","Black","--","100,941","--"
