"Notes","State of Residence","State of Residence Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"New York","36","1500 - 1999 grams","04",3692
,"New York","36","2000 - 2499 grams","05",11548
,"New York","36","2500 - 2999 grams","06",42643
,"New York","36","3000 - 3499 grams","07",88300
,"New York","36","3500 - 3999 grams","08",59438
,"New York","36","4000 - 4499 grams","09",15042
,"New York","36","4500 - 4999 grams","10",2026
,"New York","36","5000 - 8165 grams","11",207
,"New York","36","Unknown or Not Stated","12",374
,"North Carolina","37","499 grams or less","01",195
,"North Carolina","37","500 - 999 grams","02",725
,"North Carolina","37","1000 - 1499 grams","03",967
,"North Carolina","37","1500 - 1999 grams","04",2160
,"North Carolina","37","2000 - 2499 grams","05",6923
,"North Carolina","37","2500 - 2999 grams","06",22583
,"North Carolina","37","3000 - 3499 grams","07",44765
,"North Carolina","37","3500 - 3999 grams","08",31006
,"North Carolina","37","4000 - 4499 grams","09",8239
,"North Carolina","37","4500 - 4999 grams","10",1182
,"North Carolina","37","5000 - 8165 grams","11",126
,"North Carolina","37","Unknown or Not Stated","12",83
,"North Dakota","38","499 grams or less","01",10
,"North Dakota","38","500 - 999 grams","02",43
,"North Dakota","38","1000 - 1499 grams","03",68
,"North Dakota","38","1500 - 1999 grams","04",137
,"North Dakota","38","2000 - 2499 grams","05",440
,"North Dakota","38","2500 - 2999 grams","06",1601
,"North Dakota","38","3000 - 3499 grams","07",4075
,"North Dakota","38","3500 - 3999 grams","08",3214
,"North Dakota","38","4000 - 4499 grams","09",898
,"North Dakota","38","4500 - 4999 grams","10",133
,"North Dakota","38","5000 - 8165 grams","11",15
,"North Dakota","38","Unknown or Not Stated","12",Suppressed
,"Ohio","39","499 grams or less","01",211
,"Ohio","39","500 - 999 grams","02",732
,"Ohio","39","1000 - 1499 grams","03",1052
,"Ohio","39","1500 - 1999 grams","04",2274
,"Ohio","39","2000 - 2499 grams","05",7202
,"Ohio","39","2500 - 2999 grams","06",25090
,"Ohio","39","3000 - 3499 grams","07",51322
,"Ohio","39","3500 - 3999 grams","08",36161
,"Ohio","39","4000 - 4499 grams","09",9548
,"Ohio","39","4500 - 4999 grams","10",1294
,"Ohio","39","5000 - 8165 grams","11",150
,"Ohio","39","Unknown or Not Stated","12",98
,"Oklahoma","40","499 grams or less","01",64
,"Oklahoma","40","500 - 999 grams","02",261
,"Oklahoma","40","1000 - 1499 grams","03",396
,"Oklahoma","40","1500 - 1999 grams","04",777
,"Oklahoma","40","2000 - 2499 grams","05",2617
,"Oklahoma","40","2500 - 2999 grams","06",9435
,"Oklahoma","40","3000 - 3499 grams","07",19292
,"Oklahoma","40","3500 - 3999 grams","08",13126
,"Oklahoma","40","4000 - 4499 grams","09",3297
,"Oklahoma","40","4500 - 4999 grams","10",441
,"Oklahoma","40","5000 - 8165 grams","11",65
,"Oklahoma","40","Unknown or Not Stated","12",29
,"Oregon","41","499 grams or less","01",31
,"Oregon","41","500 - 999 grams","02",128
,"Oregon","41","1000 - 1499 grams","03",211
,"Oregon","41","1500 - 1999 grams","04",544
,"Oregon","41","2000 - 2499 grams","05",1912
,"Oregon","41","2500 - 2999 grams","06",6731
,"Oregon","41","3000 - 3499 grams","07",15868
,"Oregon","41","3500 - 3999 grams","08",12553
,"Oregon","41","4000 - 4499 grams","09",3610
,"Oregon","41","4500 - 4999 grams","10",524
,"Oregon","41","5000 - 8165 grams","11",67
,"Oregon","41","Unknown or Not Stated","12",Suppressed
,"Pennsylvania","42","499 grams or less","01",204
,"Pennsylvania","42","500 - 999 grams","02",680
,"Pennsylvania","42","1000 - 1499 grams","03",985
,"Pennsylvania","42","1500 - 1999 grams","04",2197
,"Pennsylvania","42","2000 - 2499 grams","05",7156
,"Pennsylvania","42","2500 - 2999 grams","06",24223
,"Pennsylvania","42","3000 - 3499 grams","07",50965
,"Pennsylvania","42","3500 - 3999 grams","08",37105
,"Pennsylvania","42","4000 - 4499 grams","09",10076
,"Pennsylvania","42","4500 - 4999 grams","10",1441
,"Pennsylvania","42","5000 - 8165 grams","11",154
,"Pennsylvania","42","Unknown or Not Stated","12",487
,"Rhode Island","44","499 grams or less","01",16
,"Rhode Island","44","500 - 999 grams","02",45
,"Rhode Island","44","1000 - 1499 grams","03",75
,"Rhode Island","44","1500 - 1999 grams","04",168
,"Rhode Island","44","2000 - 2499 grams","05",497
,"Rhode Island","44","2500 - 2999 grams","06",1801
,"Rhode Island","44","3000 - 3499 grams","07",3994
,"Rhode Island","44","3500 - 3999 grams","08",3012
,"Rhode Island","44","4000 - 4499 grams","09",772
,"Rhode Island","44","4500 - 4999 grams","10",107
,"Rhode Island","44","5000 - 8165 grams","11",13
,"Rhode Island","44","Unknown or Not Stated","12",Suppressed
,"South Carolina","45","499 grams or less","01",104
,"South Carolina","45","500 - 999 grams","02",357
,"South Carolina","45","1000 - 1499 grams","03",504
,"South Carolina","45","1500 - 1999 grams","04",1093
,"South Carolina","45","2000 - 2499 grams","05",3374
,"South Carolina","45","2500 - 2999 grams","06",11322
,"South Carolina","45","3000 - 3499 grams","07",21711
,"South Carolina","45","3500 - 3999 grams","08",14174
,"South Carolina","45","4000 - 4499 grams","09",3498
,"South Carolina","45","4500 - 4999 grams","10",466
,"South Carolina","45","5000 - 8165 grams","11",45
,"South Carolina","45","Unknown or Not Stated","12",21
,"South Dakota","46","499 grams or less","01",Suppressed
,"South Dakota","46","500 - 999 grams","02",36
,"South Dakota","46","1000 - 1499 grams","03",63
,"South Dakota","46","1500 - 1999 grams","04",158
,"South Dakota","46","2000 - 2499 grams","05",527
,"South Dakota","46","2500 - 2999 grams","06",1958
,"South Dakota","46","3000 - 3499 grams","07",4414
,"South Dakota","46","3500 - 3999 grams","08",3597
,"South Dakota","46","4000 - 4499 grams","09",1005
,"South Dakota","46","4500 - 4999 grams","10",111
,"South Dakota","46","5000 - 8165 grams","11",12
,"South Dakota","46","Unknown or Not Stated","12",Suppressed
,"Tennessee","47","499 grams or less","01",133
,"Tennessee","47","500 - 999 grams","02",471
,"Tennessee","47","1000 - 1499 grams","03",699
,"Tennessee","47","1500 - 1999 grams","04",1546
,"Tennessee","47","2000 - 2499 grams","05",4622
,"Tennessee","47","2500 - 2999 grams","06",15476
,"Tennessee","47","3000 - 3499 grams","07",30753
,"Tennessee","47","3500 - 3999 grams","08",20741
,"Tennessee","47","4000 - 4499 grams","09",5226
,"Tennessee","47","4500 - 4999 grams","10",722
,"Tennessee","47","5000 - 8165 grams","11",84
,"Tennessee","47","Unknown or Not Stated","12",278
,"Texas","48","499 grams or less","01",583
,"Texas","48","500 - 999 grams","02",1926
,"Texas","48","1000 - 1499 grams","03",2836
,"Texas","48","1500 - 1999 grams","04",6153
,"Texas","48","2000 - 2499 grams","05",20539
,"Texas","48","2500 - 2999 grams","06",75181
,"Texas","48","3000 - 3499 grams","07",151756
,"Texas","48","3500 - 3999 grams","08",94806
,"Texas","48","4000 - 4499 grams","09",21492
,"Texas","48","4500 - 4999 grams","10",2872
,"Texas","48","5000 - 8165 grams","11",345
,"Texas","48","Unknown or Not Stated","12",135
,"Utah","49","499 grams or less","01",64
,"Utah","49","500 - 999 grams","02",180
,"Utah","49","1000 - 1499 grams","03",251
,"Utah","49","1500 - 1999 grams","04",620
,"Utah","49","2000 - 2499 grams","05",2270
,"Utah","49","2500 - 2999 grams","06",8775
,"Utah","49","3000 - 3499 grams","07",19450
,"Utah","49","3500 - 3999 grams","08",12414
,"Utah","49","4000 - 4499 grams","09",2776
,"Utah","49","4500 - 4999 grams","10",354
,"Utah","49","5000 - 8165 grams","11",35
,"Utah","49","Unknown or Not Stated","12",20
,"Vermont","50","499 grams or less","01",Suppressed
,"Vermont","50","500 - 999 grams","02",18
,"Vermont","50","1000 - 1499 grams","03",36
,"Vermont","50","1500 - 1999 grams","04",68
,"Vermont","50","2000 - 2499 grams","05",255
,"Vermont","50","2500 - 2999 grams","06",882
,"Vermont","50","3000 - 3499 grams","07",1943
,"Vermont","50","3500 - 3999 grams","08",1617
,"Vermont","50","4000 - 4499 grams","09",523
,"Vermont","50","4500 - 4999 grams","10",73
,"Vermont","50","5000 - 8165 grams","11",Suppressed
,"Vermont","50","Unknown or Not Stated","12",Suppressed
,"Virginia","51","499 grams or less","01",133
,"Virginia","51","500 - 999 grams","02",572
,"Virginia","51","1000 - 1499 grams","03",748
,"Virginia","51","1500 - 1999 grams","04",1577
,"Virginia","51","2000 - 2499 grams","05",5145
,"Virginia","51","2500 - 2999 grams","06",18048
,"Virginia","51","3000 - 3499 grams","07",38041
,"Virginia","51","3500 - 3999 grams","08",26909
,"Virginia","51","4000 - 4499 grams","09",7463
