Session Title,Firearm injury in ED by state and BRFSS Age,,,,
Session ID,2770964,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2023 - 12/31/2023 (Based On Arrival Date),,,,
Measure,Number of ED Encounters,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,10/29/2025,,,,
,,,,,
,,,,,
,,,ED Diagnoses,Firearm Injury,None of the above
Year,Month,State of Residence (U.S.),Age at Time of Visit,,
,,,≥ 18 and < 25 Years,10 or fewer,582
,,,≥ 25 and < 35 Years,10 or fewer,842
,,,≥ 35 and < 45 Years,10 or fewer,778
,,,≥ 45 and < 55 Years,10 or fewer,768
,,,≥ 55 and < 65 Years,10 or fewer,1031
,,,65 Years or more,10 or fewer,2736
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,7622
,,Montana,Less than 18 Years,10 or fewer,909
,,,≥ 18 and < 25 Years,10 or fewer,528
,,,≥ 25 and < 35 Years,10 or fewer,688
,,,≥ 35 and < 45 Years,10 or fewer,634
,,,≥ 45 and < 55 Years,10 or fewer,542
,,,≥ 55 and < 65 Years,10 or fewer,551
,,,65 Years or more,10 or fewer,1255
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,5107
,,New Mexico,Less than 18 Years,10 or fewer,874
,,,≥ 18 and < 25 Years,10 or fewer,775
,,,≥ 25 and < 35 Years,10 or fewer,1310
,,,≥ 35 and < 45 Years,10 or fewer,1161
,,,≥ 45 and < 55 Years,10 or fewer,1002
,,,≥ 55 and < 65 Years,10 or fewer,1123
,,,65 Years or more,10 or fewer,2170
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,8415
,,Utah,Less than 18 Years,10 or fewer,321
,,,≥ 18 and < 25 Years,10 or fewer,745
,,,≥ 25 and < 35 Years,10 or fewer,1093
,,,≥ 35 and < 45 Years,10 or fewer,1084
,,,≥ 45 and < 55 Years,10 or fewer,907
,,,≥ 55 and < 65 Years,10 or fewer,798
,,,65 Years or more,10 or fewer,1171
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,6119
,,South Dakota,Less than 18 Years,10 or fewer,1200
,,,≥ 18 and < 25 Years,10 or fewer,687
,,,≥ 25 and < 35 Years,10 or fewer,866
,,,≥ 35 and < 45 Years,10 or fewer,844
,,,≥ 45 and < 55 Years,10 or fewer,763
,,,≥ 55 and < 65 Years,10 or fewer,800
,,,65 Years or more,10 or fewer,1794
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,6954
,,Wyoming,Less than 18 Years,10 or fewer,745
,,,≥ 18 and < 25 Years,10 or fewer,475
,,,≥ 25 and < 35 Years,10 or fewer,576
,,,≥ 35 and < 45 Years,10 or fewer,508
,,,≥ 45 and < 55 Years,10 or fewer,462
,,,≥ 55 and < 65 Years,10 or fewer,561
,,,65 Years or more,10 or fewer,1112
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,4439
,,District of Columbia,Less than 18 Years,10 or fewer,166
,,,≥ 18 and < 25 Years,10 or fewer,198
,,,≥ 25 and < 35 Years,10 or fewer,577
,,,≥ 35 and < 45 Years,10 or fewer,363
,,,≥ 45 and < 55 Years,10 or fewer,225
,,,≥ 55 and < 65 Years,10 or fewer,202
,,,65 Years or more,10 or fewer,275
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,2007
,,Puerto Rico,Less than 18 Years,10 or fewer,71
,,,≥ 18 and < 25 Years,10 or fewer,34
,,,≥ 25 and < 35 Years,10 or fewer,32
,,,≥ 35 and < 45 Years,10 or fewer,58
,,,≥ 45 and < 55 Years,10 or fewer,50
,,,≥ 55 and < 65 Years,10 or fewer,55
,,,65 Years or more,10 or fewer,129
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,429
,,Alaska,Less than 18 Years,10 or fewer,40
,,,≥ 18 and < 25 Years,10 or fewer,28
,,,≥ 25 and < 35 Years,10 or fewer,25
,,,≥ 35 and < 45 Years,10 or fewer,20
,,,≥ 45 and < 55 Years,10 or fewer,29
,,,≥ 55 and < 65 Years,10 or fewer,34
,,,65 Years or more,10 or fewer,73
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,249
,,Virgin Islands,Less than 18 Years,10 or fewer,10 or fewer
,,,≥ 18 and < 25 Years,10 or fewer,10 or fewer
,,,≥ 25 and < 35 Years,10 or fewer,10 or fewer
,,,≥ 35 and < 45 Years,10 or fewer,10 or fewer
,,,≥ 45 and < 55 Years,10 or fewer,13
,,,≥ 55 and < 65 Years,10 or fewer,13
,,,65 Years or more,10 or fewer,22
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,67
,,Armed Forces Africa,Less than 18 Years,10 or fewer,10 or fewer
,,,≥ 18 and < 25 Years,10 or fewer,10 or fewer
,,,≥ 25 and < 35 Years,10 or fewer,10 or fewer
,,,≥ 35 and < 45 Years,10 or fewer,10 or fewer
,,,≥ 45 and < 55 Years,10 or fewer,10 or fewer
,,,≥ 55 and < 65 Years,10 or fewer,10 or fewer
,,,65 Years or more,10 or fewer,10 or fewer
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,30
,,Guam,Less than 18 Years,10 or fewer,10 or fewer
,,,≥ 18 and < 25 Years,10 or fewer,10 or fewer
,,,≥ 25 and < 35 Years,10 or fewer,10 or fewer
,,,≥ 35 and < 45 Years,10 or fewer,10 or fewer
,,,≥ 45 and < 55 Years,10 or fewer,10 or fewer
,,,≥ 55 and < 65 Years,10 or fewer,10 or fewer
,,,65 Years or more,10 or fewer,10 or fewer
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,13
,,None of the above,Less than 18 Years,10 or fewer,9406
,,,≥ 18 and < 25 Years,10 or fewer,5799
,,,≥ 25 and < 35 Years,13,9213
,,,≥ 35 and < 45 Years,10 or fewer,7158
,,,≥ 45 and < 55 Years,10 or fewer,6142
,,,≥ 55 and < 65 Years,10 or fewer,6590
,,,65 Years or more,10 or fewer,10865
,,,No value,10 or fewer,10 or fewer
,,,Total,33,55173
,,Total,Less than 18 Years,264,665494
,,,≥ 18 and < 25 Years,533,327628
,,,≥ 25 and < 35 Years,509,510804
,,,≥ 35 and < 45 Years,269,469415
,,,≥ 45 and < 55 Years,155,421736
,,,≥ 55 and < 65 Years,97,458504
,,,65 Years or more,58,912875
,,,No value,10 or fewer,37
,,,Total,1885,3766493
,Feb,Florida,Less than 18 Years,10 or fewer,70418
,,,≥ 18 and < 25 Years,29,25545
,,,≥ 25 and < 35 Years,31,40089
,,,≥ 35 and < 45 Years,14,36438
