,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,4.6%,61%,957
,,Wisconsin,Less than 1,16.8%,62.4%,149
,,,≥ 1 and < 5,6.8%,54.9%,295
,,,≥ 5 and < 18,-,43.4%,385
,,,≥ 18 and < 50,-,43.6%,594
,,,≥ 50 and < 65,5.8%,60.3%,242
,,,65 or more,5%,68.6%,481
,,,No value,-,-,10 or fewer
,,,Total,4.3%,53.9%,2146
,,South Dakota,Less than 1,-,68.4%,19
,,,≥ 1 and < 5,-,46.7%,30
,,,≥ 5 and < 18,-,-,25
,,,≥ 18 and < 50,-,51.1%,47
,,,≥ 50 and < 65,-,52.2%,23
,,,65 or more,-,66.7%,51
,,,No value,-,-,10 or fewer
,,,Total,7.2%,53.8%,195
,,Virgin Islands,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,Colorado,Less than 1,15.8%,54.5%,266
,,,≥ 1 and < 5,7.2%,51.2%,545
,,,≥ 5 and < 18,-,34.8%,601
,,,≥ 18 and < 50,-,45.6%,792
,,,≥ 50 and < 65,-,57.3%,241
,,,65 or more,4.3%,72.2%,345
,,,No value,-,-,10 or fewer
,,,Total,4.2%,49.5%,2790
,,North Dakota,Less than 1,-,68.4%,19
,,,≥ 1 and < 5,-,73.5%,34
,,,≥ 5 and < 18,-,42.9%,49
,,,≥ 18 and < 50,-,47.4%,95
,,,≥ 50 and < 65,-,54.5%,44
,,,65 or more,11.2%,56.1%,98
,,,No value,-,-,10 or fewer
,,,Total,7.7%,54%,339
,,Minnesota,Less than 1,24%,60%,100
,,,≥ 1 and < 5,13.5%,58.5%,207
,,,≥ 5 and < 18,-,49.1%,218
,,,≥ 18 and < 50,2.8%,43.8%,436
,,,≥ 50 and < 65,4.7%,55.9%,236
,,,65 or more,8.1%,65%,409
,,,No value,-,-,10 or fewer
,,,Total,7%,54.6%,1606
,,Pennsylvania,Less than 1,11.2%,70.8%,233
,,,≥ 1 and < 5,5.6%,67.9%,514
,,,≥ 5 and < 18,-,57.8%,676
,,,≥ 18 and < 50,-,50.9%,1445
,,,≥ 50 and < 65,2.5%,57%,749
,,,65 or more,2.7%,62.7%,1613
,,,No value,-,-,10 or fewer
,,,Total,2.5%,58.9%,5230
,,Oklahoma,Less than 1,-,82%,50
,,,≥ 1 and < 5,-,73.9%,119
,,,≥ 5 and < 18,-,48%,123
,,,≥ 18 and < 50,-,41.2%,250
,,,≥ 50 and < 65,-,45.5%,154
,,,65 or more,-,59.4%,266
,,,No value,-,-,10 or fewer
,,,Total,2.4%,54%,962
,,Nevada,Less than 1,31.7%,58.5%,41
,,,≥ 1 and < 5,-,30.1%,73
,,,≥ 5 and < 18,-,18.7%,91
,,,≥ 18 and < 50,-,41.4%,128
,,,≥ 50 and < 65,-,54.4%,79
,,,65 or more,-,68.6%,102
,,,No value,-,-,10 or fewer
,,,Total,5.6%,44.6%,514
,,Maryland,Less than 1,15.1%,68.8%,93
,,,≥ 1 and < 5,-,62%,179
,,,≥ 5 and < 18,-,58.8%,187
,,,≥ 18 and < 50,-,53.6%,448
,,,≥ 50 and < 65,-,49.8%,227
,,,65 or more,3.1%,61.8%,414
,,,No value,-,-,10 or fewer
,,,Total,2.7%,57.8%,1548
,,Nebraska,Less than 1,-,73.9%,23
,,,≥ 1 and < 5,-,63.2%,38
,,,≥ 5 and < 18,-,37.3%,51
,,,≥ 18 and < 50,-,45.4%,141
,,,≥ 50 and < 65,-,61.7%,60
,,,65 or more,-,67.5%,117
