Session Title,"Opioid Overdoses in ED, State Month Age",,,,,
Session ID,2768312,,,,,
Data Model,ED Encounters,,,,,
Population Base,All ED Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,,
Session Date Range,1/1/2023 - 3/31/2024 (Based On Arrival Date),,,,,
Measure,Number of ED Encounters,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/22/2025,,,,,
,,,,,,
,,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above,"Total: Total includes all data, including data from columns not currently displayed."
Year,Month,State of Residence (U.S.),Age at Time of Visit,,,
,,,≥ 15 and < 25 Years,10 or fewer,629,629
,,,≥ 25 and < 45 Years,10 or fewer,1083,1085
,,,≥ 45 and < 65 Years,10 or fewer,1023,1023
,,,65 Years or more,10 or fewer,1113,1113
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,4438,4441
,,District of Columbia,Less than 15 Years,10 or fewer,146,146
,,,≥ 15 and < 25 Years,10 or fewer,219,219
,,,≥ 25 and < 45 Years,10 or fewer,940,940
,,,≥ 45 and < 65 Years,10 or fewer,428,428
,,,65 Years or more,10 or fewer,275,275
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,2009,2009
,,Puerto Rico,Less than 15 Years,10 or fewer,69,69
,,,≥ 15 and < 25 Years,10 or fewer,37,37
,,,≥ 25 and < 45 Years,10 or fewer,90,90
,,,≥ 45 and < 65 Years,10 or fewer,105,105
,,,65 Years or more,10 or fewer,129,129
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,430,430
,,Alaska,Less than 15 Years,10 or fewer,32,32
,,,≥ 15 and < 25 Years,10 or fewer,37,37
,,,≥ 25 and < 45 Years,10 or fewer,45,45
,,,≥ 45 and < 65 Years,10 or fewer,63,63
,,,65 Years or more,10 or fewer,73,73
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,250,250
,,Virgin Islands,Less than 15 Years,10 or fewer,10 or fewer,10 or fewer
,,,≥ 15 and < 25 Years,10 or fewer,10 or fewer,10 or fewer
,,,≥ 25 and < 45 Years,10 or fewer,12,12
,,,≥ 45 and < 65 Years,10 or fewer,26,26
,,,65 Years or more,10 or fewer,22,22
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,67,67
,,None of the above,Less than 15 Years,10 or fewer,8105,8105
,,,≥ 15 and < 25 Years,11,7115,7126
,,,≥ 25 and < 45 Years,68,16335,16403
,,,≥ 45 and < 65 Years,33,12710,12743
,,,65 Years or more,10 or fewer,10865,10872
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,119,55130,55249
,,Total,Less than 15 Years,30,560686,560716
,,,≥ 15 and < 25 Years,416,432787,433203
,,,≥ 25 and < 45 Years,2239,978758,980997
,,,≥ 45 and < 65 Years,1223,879269,880492
,,,65 Years or more,361,912572,912933
,,,No value,10 or fewer,37,37
,,,Total,4269,3764109,3768378
,Feb,Florida,Less than 15 Years,10 or fewer,61436,61436
,,,≥ 15 and < 25 Years,23,34543,34566
,,,≥ 25 and < 45 Years,159,76413,76572
,,,≥ 45 and < 65 Years,98,66257,66355
,,,65 Years or more,27,69570,69597
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,307,308221,308528
,,Ohio,Less than 15 Years,10 or fewer,41241,41243
,,,≥ 15 and < 25 Years,25,34697,34722
,,,≥ 25 and < 45 Years,237,78218,78455
,,,≥ 45 and < 65 Years,104,68160,68264
,,,65 Years or more,21,68113,68134
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,389,290429,290818
,,Texas,Less than 15 Years,10 or fewer,51711,51711
,,,≥ 15 and < 25 Years,15,31627,31642
,,,≥ 25 and < 45 Years,62,66853,66915
