Session Title,HbA1c 7.5+ and HbA1c 7.0+ and HbA1c 6.5+ and Number of Patients by Age in Years (Current) Range and State of Residence (U.S.),,,,
Session ID,2748873,,,,
Data Model,Patients,,,,
Population Base,All Patients,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,,,
Session Date Range,1/1/2023 - 7/10/2025,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,8/11/2025,,,,
,,,,,
,,,,,
,Measures,HbA1c 7.5+ (%),HbA1c 7.0+ (%),HbA1c 6.5+ (%),Number of Patients
Age in Years (Current),State of Residence (U.S.),,,,
Less than 18,Federated States of Micronesia,-,-,-,10 or fewer
,Northern Mariana Islands,-,-,-,10 or fewer
,Marshall Islands,-,-,-,10 or fewer
,Rhode Island,7.5%,9.1%,11.9%,26167
,Oregon,7.9%,9.2%,11.5%,254481
,Texas,8.1%,9.6%,12.1%,1605672
,Georgia,7.6%,9.1%,11.7%,495544
,Arizona,6.9%,8.1%,10.3%,253368
,Washington,6.8%,8.1%,10.1%,253419
,Vermont,5.2%,6%,7.4%,66721
,Florida,6.2%,7.6%,9.9%,1285451
,Puerto Rico,7.3%,9.2%,11.7%,10886
,California,6.7%,8.1%,10.1%,1275433
,Alaska,5.9%,7.1%,9%,2324
,Montana,5.2%,6.3%,8.3%,44859
,Colorado,5.6%,6.6%,8.5%,376370
,None of the above,5.8%,6.9%,8.7%,490067
,Total,8.3%,9.9%,12.5%,19799010
65 or more,Federated States of Micronesia,-,-,25.6%,43
,Northern Mariana Islands,16.4%,20.9%,20.9%,67
,Marshall Islands,-,-,-,28
,"American Samoa, South Pacific",10.3%,12.4%,20.1%,194
,Mississippi,12.2%,15.4%,20.1%,526188
,Indiana,12.3%,15.2%,19.6%,745456
,West Virginia,11%,14%,18.2%,308331
,Ohio,11.8%,14.8%,19.4%,2356687
,Kentucky,11.8%,14.9%,19.5%,654894
,South Carolina,11.1%,14%,18.7%,933488
,Alabama,9%,11.5%,15.2%,212120
,North Carolina,10.6%,13.5%,18%,1623597
,Maine,9.8%,12%,15.4%,273377
,Guam,6.7%,10.3%,13%,416
,Illinois,10.5%,13.3%,17.5%,1596851
,Delaware,11.4%,14.7%,19.7%,132131
,Michigan,10.6%,13.6%,18.2%,1435731
,Oklahoma,10.4%,12.9%,16.4%,335751
,Pennsylvania,10.2%,13.1%,17.7%,2084735
,Missouri,9.6%,12.3%,16.3%,324966
,Virginia,9.9%,12.6%,16.9%,1372453
,Louisiana,10.7%,13.5%,17.6%,604596
,Virgin Islands,6.3%,8.8%,13.1%,2990
,Nebraska,8.7%,11.2%,14.6%,250988
,Kansas,9%,11.7%,15.9%,283561
,Maryland,9.1%,11.6%,15.3%,623643
,Iowa,9.7%,12.2%,15.7%,456343
,Arkansas,8.8%,10.9%,13.9%,310662
,Idaho,9.9%,12.5%,16.6%,254023
,North Dakota,10.8%,13.5%,17.1%,141501
,Wisconsin,9.8%,12.1%,15.6%,811726
,Tennessee,8%,10.4%,13.9%,454013
,Minnesota,9.4%,11.7%,15.1%,721653
,New York,8.6%,11.2%,15.1%,2131616
,New Jersey,7.9%,10.5%,14.8%,882079
