Session Title,Number of ED Encounters and Percent with Self-Harm Dx by State of Residence (U.S.) and Age at Time of Visit Range,,,,
Session ID,2758643,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2023 - 8/27/2025 (Based On Arrival Date),,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,9/19/2025,,,,
,,,,,
,,,,,
,,,Measures,Number of ED Encounters,Percent with Self-Harm Dx (%)
State of Residence (U.S.),Age at Time of Visit,Year,Month,,
,,,Jul,45189,0.188%
,,,Aug,45632,0.234%
,,,Sep,44319,0.223%
,,,Oct,48126,0.185%
,,,Nov,47239,0.214%
,,,Dec,49364,0.209%
,,2024,Jan,49106,0.21%
,,,Feb,47074,0.202%
,,,Mar,49285,0.215%
,,,Apr,47653,0.227%
,,,May,50746,0.205%
,,,Jun,49934,0.23%
,,,Jul,52708,0.192%
,,,Aug,52000,0.185%
,,,Sep,50721,0.244%
,,,Oct,51487,0.225%
,,,Nov,50033,0.212%
,,,Dec,52952,0.21%
,,2025,Jan,52195,0.211%
,,,Feb,48718,0.203%
,,,Mar,51916,0.235%
,,,Apr,50437,0.2%
,,,May,53235,0.254%
,,,Jun,53326,0.214%
,,,Jul,55673,0.244%
,,,Aug 1 – Aug 27,48442,0.225%
,≥ 30 and < 50 Years,2023,Jan,82226,0.139%
,,,Feb,75031,0.125%
,,,Mar,84427,0.139%
,,,Apr,80871,0.131%
,,,May,85094,0.15%
,,,Jun,83289,0.137%
,,,Jul,87346,0.137%
,,,Aug,88440,0.127%
,,,Sep,86199,0.15%
,,,Oct,91829,0.147%
,,,Nov,89013,0.122%
,,,Dec,96064,0.134%
,,2024,Jan,95423,0.122%
,,,Feb,92583,0.117%
,,,Mar,95409,0.136%
,,,Apr,92619,0.122%
,,,May,98211,0.143%
,,,Jun,95537,0.128%
,,,Jul,101951,0.134%
,,,Aug,100479,0.147%
,,,Sep,98357,0.124%
,,,Oct,98890,0.119%
,,,Nov,94252,0.108%
,,,Dec,99255,0.123%
,,2025,Jan,100598,0.118%
,,,Feb,95923,0.121%
,,,Mar,101055,0.129%
,,,Apr,98717,0.145%
,,,May,103454,0.123%
,,,Jun,103123,0.148%
,,,Jul,108896,0.153%
,,,Aug 1 – Aug 27,95156,0.129%
,≥ 50 and < 65 Years,2023,Jan,57043,0.1%
,,,Feb,52159,0.081%
,,,Mar,58223,0.065%
,,,Apr,56787,0.069%
,,,May,59755,0.074%
,,,Jun,59096,0.083%
,,,Jul,61501,0.086%
,,,Aug,61253,0.075%
,,,Sep,59652,0.087%
,,,Oct,64813,0.082%
,,,Nov,63035,0.063%
,,,Dec,67760,0.068%
,,2024,Jan,66236,0.075%
,,,Feb,63212,0.059%
,,,Mar,67039,0.081%
,,,Apr,65741,0.09%
,,,May,70013,0.063%
,,,Jun,67830,0.06%
,,,Jul,70893,0.072%
,,,Aug,70750,0.075%
,,,Sep,68640,0.092%
,,,Oct,67610,0.071%
,,,Nov,64054,0.083%
,,,Dec,68552,0.077%
,,2025,Jan,70109,0.067%
,,,Feb,68954,0.062%
,,,Mar,70568,0.089%
,,,Apr,68429,0.083%
,,,May,71532,0.085%
,,,Jun,72407,0.076%
,,,Jul,75039,0.068%
,,,Aug 1 – Aug 27,65808,0.087%
,65 Years or more,2023,Jan,74042,0.027%
,,,Feb,68018,0.031%
,,,Mar,76554,0.033%
,,,Apr,74851,0.033%
,,,May,80414,0.026%
,,,Jun,77868,0.022%
,,,Jul,80237,0.019%
,,,Aug,80988,0.026%
,,,Sep,80128,0.031%
,,,Oct,90642,0.025%
,,,Nov,88733,0.014%
,,,Dec,98306,0.026%
,,2024,Jan,93427,0.018%
,,,Feb,88310,0.029%
,,,Mar,93030,0.031%
,,,Apr,92765,0.017%
,,,May,98468,0.024%
,,,Jun,96154,0.03%
,,,Jul,100304,0.021%
,,,Aug,100445,0.02%
,,,Sep,97304,0.027%
,,,Oct,97421,0.027%
,,,Nov,93223,0.019%
,,,Dec,103101,0.017%
,,2025,Jan,101603,0.022%
,,,Feb,98909,0.024%
,,,Mar,105022,0.025%
,,,Apr,100928,0.026%
,,,May,106303,0.027%
,,,Jun,105078,0.023%
,,,Jul,108818,0.035%
,,,Aug 1 – Aug 27,94702,0.027%
