"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Forsyth County, NC","37067","30-34 years","30-34",1303
,"Forsyth County, NC","37067","35-39 years","35-39",693
,"Forsyth County, NC","37067","40-44 years","40-44",133
,"Forsyth County, NC","37067","45-49 years","45-49",12
,"Forsyth County, NC","37067","50 years and over","50+",0
,"Gaston County, NC","37071","Under 15 years","15",Suppressed
,"Gaston County, NC","37071","15-19 years","15-19",121
,"Gaston County, NC","37071","20-24 years","20-24",575
,"Gaston County, NC","37071","25-29 years","25-29",862
,"Gaston County, NC","37071","30-34 years","30-34",857
,"Gaston County, NC","37071","35-39 years","35-39",374
,"Gaston County, NC","37071","40-44 years","40-44",62
,"Gaston County, NC","37071","45-49 years","45-49",Suppressed
,"Gaston County, NC","37071","50 years and over","50+",0
,"Guilford County, NC","37081","Under 15 years","15",Suppressed
,"Guilford County, NC","37081","15-19 years","15-19",240
,"Guilford County, NC","37081","20-24 years","20-24",1014
,"Guilford County, NC","37081","25-29 years","25-29",1620
,"Guilford County, NC","37081","30-34 years","30-34",1697
